question,choix,choix,choix,réponse
Trouve le mot manquant : « Tout à coup  un … retentit au fond de la forêt. »,appel,appelle,appellent,appel
Trouve le mot manquant : « Des  …  seront utiles avant de partir. »,conseil,conseillent,conseils,conseils
Trouve le mot manquant : « C’est peut être quelqu’un qui … pour demander du secours. »,crie,cri,cries,crie
"Trouve la fonction du groupe de mots souligné précédé d'un astérisque : « Ce matin *ta sœur t’a écrit. »",complément d’objet direct,attribut du sujet,sujet,sujet
"Trouve la fonction du groupe de mots en souligné précédé d'un astérisque : « Jean a travaillé *toute la nuit. »",sujet,attribut du sujet,complément circonstanciel,complément circonstanciel
"Trouve la fonction du groupe de mots souligné précédé d'un astérisque : « Anne semble *fatiguée. »",attribut du sujet,complément d’objet direct,sujet,attribut du sujet
"Trouve la fonction du groupe de mots souligné précédé d'un astérisque : « Les autobus ont *la priorité. »",complément circonstanciel,attribut du  sujet,complément d’objet direct,complément d’objet direct
"Trouve la fonction du groupe de mots souligné précédé d'un astérisque : « Avec la nuit commence *l’inquiétude. » ",sujet inversé,complément circonstanciel,attribut du sujet,sujet inversé
"Quelle est la forme négative de : « Nous nous sommes déjà rencontrés » ?",Nous ne nous sommes jamais rencontrés,Nous ne nous sommes pas rencontrés,On s’est jamais rencontré,Nous ne nous sommes jamais rencontrés
"Quelle est la forme négative de : « Une hésitation est encore possible » ?",Une hésitation n’est pas possible,Une hésitation ne sera pas possible,une hésitation n’est plus possible,Une hésitation n’est plus possible
"Dans la liste ci-dessous une phrase n'est pas à la forme négative. Laquelle ?",Sur ce parking  il n’y a guère d’endroit où s’abriter,Les clients n’ont plus envie de quitter le magasin,L’orage éclate brusquement,L’orage éclate brusquement
"Quelle est la phrase correcte ?",C’est toi qui rangeras les objets que tu as déplacé,C’est toi qui rangeras les objets que tu as déplacés,C’est toi qui rangera les objets que tu as déplacés,C’est toi qui rangeras les objets que tu as déplacés
"Parmi les phrases suivantes laquelle comporte un complément circonstanciel de temps ?",Il sort souvent la nuit,Cette minute se prolongea interminablement,La nuit est claire,Il sort souvent la nuit
"Dans laquelle de ces phrases remplaceriez-vous les points de suspension par « quelles » ?",… sont ces montagnes ?,… sont parfumées ces roses !,Les oranges … mangent sont juteuses,… sont ces montagnes ?
"Dans laquelle de ces phrases remplaceriez-vous les points de suspension par « sensé » ?",Ce projet n’est pas … nous ne pouvons pas l’accepter, Il était … venir au rendez-vous ce matin,Nul n’est … ignorer la loi,Ce projet n’est pas … nous ne pouvons pas l’accepter
