question,choix1,choix2,choix3,choix4,rep,explication
Quel est le nom de la planète sur laquelle nous vivons ?,La Terre,Mars,La Lune,Le Japon,A,Notre planète s'appelle La Terre.
Quel est le nom du satellite naturel de la Terre ?,Mars,Jupiter,La Lune,Spoutnik,C,Le satellite naturel de la Terre est la Lune.
Vrai ou Faux ? Le corps humain est composé à environ 70% d'eau.,Vrai,Faux,-,-,A,Le corps humain est composé d'environ 70% d'eau.
Quelle est la capitale de la France ?,Paris,Lyon,Bruxelles,Strasbourg,A,La capitale de la France est Paris.
Dans quel pays se trouve la ville de Berlin ?,Norvège,Suède,Allemagne,Belgique,C,Berlin se trouve en Allemagne.
De quelle monnaie ce symbole est-il la représentation : $ ?,L'euro,Le dollar,Le peso,L'ouguiya,B,"$" Représente le dollar.
Dans quel pays coule la Seine ?,Italie,France,Allemagne,Belgique,B,La Seine coule en France.
Combien y a-t-il de mois dans une année ?,12,6,15,56,A,Il y a 12 mois dans une année.
Comment appelle-t-on une figure à 3 côtés ?,Un losange,Un triangle,Un carré,Un octogone,B,Le traingle a trois cotés.
Quel est le premier jour de la semaine ?,Samedi,Jeudi,Lundi,mardi,C,Le premier jour de la semaine est lundi.
Les fruits et les légumes sont indispensables pour une bonne santé.,Vrai,Faux,-,-,A,Pour rester en bonne santé manger au moins 5 fruits et légumes par jour.
La pomme de terre est :,Un féculent,Un légume,Un fruit,De la viande,A,La pomme de terre est un féculent.
Les produits laitiers sont les aliments les plus riches en calcium :,Vrai,Faux,-,-,A,Les produits laitiers sont nos amis pour la vie.
Quelle invention humaine marque le passage de la préhistoire à l'histoire ?,La lecture,Le feu,L'écriture,La division,B,L'invention du feu permet le passage a l'histoire.
Quel est le contraire du sens propre d'un mot ?,Sale,Figuré,Giratoire,Commun,B,Le contraire du sens propre est le sens figuré.
Comment appelle-t-on les animaux qui vivent dans l'eau ?,Aquatiques,Mammifères marins,Poissons,Amphibiens,A,Les animaux aquatiques vivents dans l'eau.







